protein,pdb,chain,ligand,MW,Name
HER2,9mwv,C,A1BT9,440.603,"N-{3-[({2-[3-(aminomethyl)[1,1'-biphenyl]-4-yl]ethyl}amino)methyl]phenyl}thiophene-2-carboximidamide"
HER2,9mwv,D,A1BT9,440.603,"N-{3-[({2-[3-(aminomethyl)[1,1'-biphenyl]-4-yl]ethyl}amino)methyl]phenyl}thiophene-2-carboximidamide"
HER2,9mwv,A,GD,157.25,GADOLINIUM ATOM
HER2,9mwv,B,GD,157.25,GADOLINIUM ATOM
HER2,9mwv,D,GD,157.25,GADOLINIUM ATOM
HER2,9mww,A,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mww,B,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mww,C,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mww,D,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mww,A,A1BTW,441.591,"N-{3-[({2-[3-(aminomethyl)[1,1'-biphenyl]-4-yl]ethyl}amino)methyl]phenyl}-1,3-thiazole-5-carboximidamide"
HER2,9mww,B,A1BTW,441.591,"N-{3-[({2-[3-(aminomethyl)[1,1'-biphenyl]-4-yl]ethyl}amino)methyl]phenyl}-1,3-thiazole-5-carboximidamide"
HER2,9mww,C,A1BTW,441.591,"N-{3-[({2-[3-(aminomethyl)[1,1'-biphenyl]-4-yl]ethyl}amino)methyl]phenyl}-1,3-thiazole-5-carboximidamide"
HER2,9mww,D,A1BTW,441.591,"N-{3-[({2-[3-(aminomethyl)[1,1'-biphenyl]-4-yl]ethyl}amino)methyl]phenyl}-1,3-thiazole-5-carboximidamide"
HER2,9mww,B,GD,157.25,GADOLINIUM ATOM
HER2,9mww,C,GD,157.25,GADOLINIUM ATOM
HER2,9mww,D,GD,157.25,GADOLINIUM ATOM
HER2,9mz3,A,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mz3,B,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mz3,C,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mz3,D,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mz3,A,A1BUH,311.353,(2M)-5-(2-aminoethyl)-2-(2-amino-6-fluoro-4-methylquinolin-7-yl)phenol
HER2,9mz3,B,A1BUH,311.353,(2M)-5-(2-aminoethyl)-2-(2-amino-6-fluoro-4-methylquinolin-7-yl)phenol
HER2,9mz3,C,A1BUH,311.353,(2M)-5-(2-aminoethyl)-2-(2-amino-6-fluoro-4-methylquinolin-7-yl)phenol
HER2,9mz3,D,A1BUH,311.353,(2M)-5-(2-aminoethyl)-2-(2-amino-6-fluoro-4-methylquinolin-7-yl)phenol
HER2,9mz3,A,GD,157.25,GADOLINIUM ATOM
HER2,9mz3,B,GD,157.25,GADOLINIUM ATOM
HER2,9mz3,C,GD,157.25,GADOLINIUM ATOM
HER2,9mz3,D,GD,157.25,GADOLINIUM ATOM
HER2,9o0r,A,A1B7W,604.117,Adagrasib
HER2,9o0r,B,A1B7W,604.117,Adagrasib
HER2,9piz,A,A1CII,538.897,"1-[(4aR,10P,13R)-10-[5-amino-4-fluoro-3-methyl-2-(trifluoromethyl)phenyl]-11-chloro-9-fluoro-1,2,4a,5-tetrahydropyrazino[1',2':4,5][1,4]oxazino[2,3-c]quinolin-3(4H)-yl]prop-2-en-1-one"
