Warhead,SMILES
569,['CN1C(=O)[C@@](N=C1N)(c2ccc(cc2)OC(F)(F)F)c3ccc(c(c3)c4cncnc4)F']
586,['CC(C)[C@@H](C(=O)NCc1ccccc1)NC(=O)[C@@H](C[C@@H]([C@H](COc2cc(cc(c2)F)F)NC(=O)c3cc(cc(c3)N(C)S(=O)(=O)C)C(=O)N[C@H](C)c4ccccc4)O)OC']
591,['CCn1cc(cn1)[C@]2(C(=O)N(C(=N2)N)C)c3cccc(c3)c4cncnc4']
593,['CN1C(=O)[C@@](N=C1N)(c2ccccc2)C34CC5CC(C3)CC(C5)C4']
5E7,['C[C@H](c1ccccc1)NC(=O)c2cc(cc(c2)N(C)S(=O)(=O)C)C(=O)N[C@@H](Cc3ccccc3)[C@@H](CN[C@@H]([C@H](C)O)C(=O)NCC(C)C)O']
5HA,['C[C@H](c1ccccc1)NC(=O)c2cc(cc(c2)N(C)S(=O)(=O)C)C(=O)N[C@@H](Cc3ccccc3)[C@@H](CNC4CC4)O']
5MS,['Cc1ccc(cc1NS(=O)(=O)C)Nc2cc(ncn2)c3ccccc3']
5T5,['c1cc(ccc1[C@]2(COC(=N2)N)[C@@H]3C[C@H]3C(=O)c4cc(cnc4)Cl)OC(F)F']
5T6,['Cc1cc(ccc1OC(F)F)[C@]2(COC(=N2)N)c3cccc(c3)c4cc(cnc4)Cl']
5T7,['C[C@]1(C(COC(=N1)N)(F)F)[C@@H]2C[C@H]2C(=O)Nc3cccc4c3ncc(c4)Cl']
5T8,['C[C@]1(COCC(=N1)N)c2cccc(c2)Nc3cccc4c3ncc(c4)Cl']
60S,['[H]/N=C/1\\N[C@]2(CN(C[C@H]2C(=O)N1C)c3nc(c(c(n3)NC)F)C)c4ccc(s4)C#N']
60T,['[H]/N=C/1\\N[C@]2(CN(C[C@H]2C(=O)N1C)c3nc(c(c(n3)OC)F)C)c4c(cccc4F)F']
60U,['[H]/N=C/1\\N[C@]2(CN(C[C@H]2C(=O)N1C)c3nc(c(c(n3)OCC)F)C)c4ccc(s4)C#N']
60V,['[H]/N=C/1\\N[C@]2(CN(C[C@H]2C(=O)N1C)c3nc(c(c(n3)OC)F)C)c4ccc(s4)C#N']
60W,['[H]/N=C/1\\N[C@]2(CN(C[C@H]2C(=O)N1C)c3ncc(c(n3)OC)F)c4cc(cs4)c5cccc(c5)C#N']
60X,['[H]/N=C/1\\N[C@]2(CN(C[C@H]2C(=O)N1C)c3nc(c(c(n3)OC)F)C)c4ccc(cc4F)F']
60Y,['[H]/N=C/1\\N[C@]2(CN(C[C@H]2C(=O)N1C)c3ncc(cn3)F)c4cc(cs4)c5cccc(c5)C#N']
625,['c1ccc(c(c1)c2ccc(n2Cc3cccc(n3)N)c4ccc(cc4)OCCCC#N)Cl']
66F,['C[C@]1(CS(=O)(=O)N(C(=N1)N)C)c2cc(ccc2F)NC(=O)c3ccc(cn3)F']
66H,['[H]/N=C/1\\N[C@](C(=O)N1C)(c2ccccc2)c3cccc(c3)NC(=O)c4ccco4']
66J,['[H]/N=C/1\\N[C@](CS(=O)(=O)N1C)(C)c2c(cc(s2)c3cc(cnc3)C#CC)Cl']
68J,['CC(C)(C)CCNC(=O)CCc1cc2cc(ccc2nc1N)c3ccccc3C#CCC4(CC4)NC(=O)c5ccc(cc5)F']
68K,['CC(C)(C)CCNC(=O)CCc1cc2cc(ccc2nc1N)c3ccccc3CCc4ccc(cn4)NC(=O)c5ccc(cc5)F']
68L,['c1cc2c(cc1NC(=O)c3ccc(cn3)Cl)[C@@]4(COC(=N4)N)c5cc(ncc5O2)C6=CCCOC6']
68M,['Cc1cccnc1c2ccc3c(c2)cc(c(n3)N)C[C@@H](C)C(=O)NCCC(C)(C)C']
6BS,['Cc1ccccc1c2ccc3c(c2)cc(c(n3)N)CCC(=O)NCCC(C)(C)C']
6IP,['c1cc(nc(c1)N)CCc2ccc3cc[nH]c3c2']
6T6,['C[C@]1(NC(=C(N1)N)c2ccccc2)c3cccc(c3)c4cccnc4']
6T9,['CCOc1ccc(nc1)C(=O)Nc2ccc(c(c2)[C@@]3(C(COC(=N3)N)(F)F)C)F']
6TG,['Cc1cc(cc(c1OC)C)[C@]2(N=C(C(=N2)N)C)c3cccc(c3)c4cncnc4']
6Z0,['[H]/N=C\\1/N[C@](C(CO1)(F)F)(C)c2cc(ccc2F)NC(=O)c3ccc(cn3)C#N']
712,['C[C@H](c1ccc(cc1)F)NC(=O)c2cc(cc(c2)N(C)S(=O)(=O)C)COC(=O)[C@@](C)(Cc3ccccc3)N']
74A,['CCCN(CCC)C(=O)c1cc(cc(c1)C(=O)N[C@@H](Cc2cc(cc(c2)F)F)[C@@H]([C@H]3CN(CCN3)C(=O)c4ccccc4)O)C']
74B,['c1c(c(cc(c1[C@]23CO[C@H](C[C@H]2CSC(=N3)N)CF)F)F)CNCC(F)(F)F']
757,['CC(C)[C@@H](C(=O)Nc1cc(cc(c1)C(=O)O)C(=O)O)NC(=O)C[C@H]([C@H](COc2cc(cc(c2)F)F)NC(=O)c3cc(cc(c3)N(C)S(=O)(=O)C)C(=O)N[C@H](C)c4ccccc4)O']
779,['[H]/N=C/1\\N[C@](C(=O)N1C)(CCC2CCCCC2)C[C@H]3CCC[C@H](C3)NC(=O)Nc4ccccc4']
7F3,['c1cc2c(c(c1)F)C(=N[C@@]2(c3ccc(c(c3)c4cncnc4)F)c5ccnc(c5)C(F)(F)F)N']
7H3,['c1cc(c(cc1NC(=O)c2ccc(cn2)Br)[C@@]34[C@@H](CCO3)CSC(=N4)N)F']
7IP,['COc1cccc(c1)c2cccc(c2)CCc3cccc(n3)N']
842,['CC(=O)N[C@@H](Cc1cc(cc(c1)F)F)[C@@H](CNC2(CCCCC2)c3cccc(c3)n4cccn4)O']
879,['c1ccc(c(c1)c2ccc(n2Cc3cccc(n3)N)c4ccc(cc4)Oc5cncnc5)Cl']
8AP,['c1ccc(cc1)CNc2cccnc2N']
8IP,['c1cc(cc(c1)c2cccnc2)CNc3cccnc3N']
